symbol,companyName,impliedMove
AMBZ,American Business Bank (Los Ang,
CBBI,CBB Bancorp,
CEFC,Commercial National Financial C,
CNAF,Commercial National Financial C,
ERKH,Eureka Homestead Bancorp,
FCAP,First Capital,
FZMD,Fuse Medical,
HKIT,Hitek Global,
MUEL,Mueller (PAUL),
OPY,Oppenheimer,
PFLC,Pacific Financial,
SJ,Scienjoy,
SLRK,Solera National Bancorp,
ABLV,ABLV,
AMFC,AMFC,
BFIN,BFIN,±13.10%
BORT,BORT,
BRBS,BRBS,
CFFI,CFFI,
CLST,CLST,
CMRB,CMRB,
ESHA,ESHA,
FGL,FGL,
FNRN,FNRN,
FRSB,FRSB,
GLBZ,GLBZ,
NWPP,NWPP,
OAKU,OAKU,
OVBC,OVBC,
PPBN,PPBN,
PVBC,PVBC,
RBKB,RBKB,
RMBI,RMBI,
RTEZ,RTEZ,
SNT,SNT,
USMT,USMT,
VABK,VABK,
CCZ,CCZ,
CMS PR B,CMS PR B,
CSHX,CSHX,
DIMC,DIMC,
FARO,FARO,
FBTT,FBTT,
FFBB,FFBB,
FSFG,FSFG,
GLOP PR A,GLOP PR A,
HONE,HONE,
IPG,IPG,
KBSX,KBSX,
MGYR,MGYR,
MOFG,MOFG,
OFED,OFED,
PCG PR A,PCG PR A,
PSBQ,PSBQ,
SHYF,SHYF,
SKX,SKX,
TRUX,TRUX,
TURB,TURB,
WNS,WNS,
ADX,ADX,
AMED,AMED,
ASRV,ASRV,
BLMH,BLMH,
BRKL,BRKL,
CMA,CMA,
COOP,COOP,
DDC,DDC,
EDVR,EDVR,
ERH,ERH,
FPAY,FPAY,
GFAI,GFAI,
GOVB,GOVB,
IBTN,IBTN,
MBLU,MBLU,
MLGF,MLGF,
OAKC,OAKC,
PEO,PEO,±4.98%
PPBI,PPBI,
RVCB,RVCB,
AFJK,AFJK,
ASRE,ASRE,
BDRL,BDRL,
BSPK,BSPK,
CADE,CADE,
CBIH,CBIH,
DIT,DIT,
FMBL,FMBL,
GLCP,GLCP,
GNTY,GNTY,
GTPS,GTPS,
INTE,INTE,
JYD,JYD,
KARX,KARX,
LGHL,LGHL,
MSVB,MSVB,
ORBN,ORBN,
ORPB,ORPB,
PBNK,PBNK,
PEBC,PEBC,
PMHG,PMHG,
SEGG,SEGG,
TETEF,TETEF,
UBX,UBX,
VBTX,VBTX,
VTYB,VTYB,
